A0A075B5I0	ENSMUSG00000090765
A0A075B5I2	ENSMUSG00000107486
A0A075B5I3	ENSMUSG00000076467
A0A075B5I8	ENSMUSG00000076477
A0A075B5I9	ENSMUSG00000076478
A0A075B5J0	ENSMUSG00000076479
A0A075B5J2	ENSMUSG00000076481
A0A075B5J3	ENSMUSG00000076490
A0A075B5J4	ENSMUSG00000076498
A0A075B5J5	ENSMUSG00000076499
A0A075B5J6	ENSMUSG00000076500
A0A075B5J7	ENSMUSG00000096461
A0A075B5J9	ENSMUSG00000076508
A0A075B5K0	ENSMUSG00000094345
A0A075B5K2	ENSMUSG00000096632
A0A075B5K3	ENSMUSG00000076514
A0A075B5K6	ENSMUSG00000105606
A0A075B5K7	ENSMUSG00000096515
A0A075B5K8	ENSMUSG00000076525
A0A075B5K9	ENSMUSG00000076526
A0A075B5L0	ENSMUSG00000094902
A0A075B5L1	ENSMUSG00000096490
A0A075B5L2	ENSMUSG00000076532
A0A075B5L3	ENSMUSG00000076533
A0A075B5L4	ENSMUSG00000076534
A0A075B5L5	ENSMUSG00000076536
A0A075B5L6	ENSMUSG00000076539
A0A075B5L7	ENSMUSG00000076540
A0A075B5L8	ENSMUSG00000076541
A0A075B5M1	ENSMUSG00000076550
A0A075B5M2	ENSMUSG00000076552
A0A075B5M3	ENSMUSG00000095633
A0A075B5M4	ENSMUSG00000076555
A0A075B5M7	ENSMUSG00000076569
A0A075B5M8	ENSMUSG00000076570
A0A075B5M9	ENSMUSG00000076572
A0A075B5N0	ENSMUSG00000076573
A0A075B5N2	ENSMUSG00000076578
A0A075B5N3	ENSMUSG00000094356
A0A075B5N4	ENSMUSG00000076580
A0A075B5N5	ENSMUSG00000076581
A0A075B5N6	ENSMUSG00000076591
A0A075B5N7	ENSMUSG00000076594
A0A075B5N8	ENSMUSG00000076596
A0A075B5N9	ENSMUSG00000076598
A0A075B5P0	ENSMUSG00000095351
A0A075B5P1	ENSMUSG00000095682
A0A075B5P7	ENSMUSG00000076633
A0A075B5P8	ENSMUSG00000096464
A0A075B5P9	ENSMUSG00000095612
A0A075B5Q0	ENSMUSG00000094951
