c100000_g1	6055.m.41809
c100000_g2	6055.m.41818
c100000_g3	6055.m.41820
c100001_g1	6055.m.41826
c100001_g2	6055.m.41829
c100001_g3	6055.m.41836
c100002_g1	6055.m.41844
c100003_g2	6055.m.41847
c100004_g1	6055.m.41848
c100005_g1	6055.m.41853
c100006_g1	6055.m.41857
c100007_g1	6055.m.41864
c100007_g2	6055.m.41871
c100008_g1	6055.m.41876
c100009_g1	6055.m.41879
c100011_g1	6055.m.41881
c100011_g2	6055.m.41883
c100011_g3	6055.m.41886
c100012_g1	6055.m.41907
c100012_g2	6055.m.41897
c100012_g3	6055.m.41900
c100012_g4	6055.m.41921
c100013_g1	6055.m.41922
c100013_g2	6055.m.41924
c100014_g1	6055.m.41925
c100014_g2	6055.m.41927
c100014_g3	6055.m.41928
c100014_g4	6055.m.41930
c100014_g5	6055.m.41933
c100015_g1	6055.m.41934
c100016_g1	6055.m.41941
c100017_g1	6055.m.41945
c100018_g1	6055.m.41946
c100019_g1	6055.m.41951
c10002_g1	6055.m.1053
c100020_g1	6055.m.41955
c100021_g1	6055.m.41961
c100022_g1	6055.m.41963
c100023_g1	6055.m.41965
c100024_g1	6055.m.41966
c100025_g1	6055.m.41977
c100026_g1	6055.m.41979
c100026_g2	6055.m.41982
c100027_g1	6055.m.41984
c100027_g2	6055.m.41985
c100028_g1	6055.m.41988
c100029_g1	6055.m.41994
c100029_g2	6055.m.41992
c100030_g1	6055.m.41996
c100030_g2	6055.m.41999
c100031_g1	6055.m.42001
c100032_g1	6055.m.42005
c100033_g1	6055.m.42009
c100034_g1	6055.m.42027
c100034_g2	6055.m.42019
c100034_g3	6055.m.42023
c100034_g4	6055.m.42031
c100036_g1	6055.m.42032
c100036_g2	6055.m.42046
c100036_g3	6055.m.42047
c100037_g1	6055.m.42050
c100038_g1	6055.m.42051
c100038_g2	6055.m.42055
c100039_g1	6055.m.42058
c100040_g1	6055.m.42065
c100041_g1	6055.m.42070
c100043_g1	6055.m.42072
c100044_g1	6055.m.42073
c100044_g2	6055.m.42074
c100045_g1	6055.m.42077
c100046_g1	6055.m.42082
c100047_g1	6055.m.42092
c100048_g1	6055.m.42094
c100049_g1	6055.m.42097
c100050_g1	6055.m.42102
c100051_g1	6055.m.42105
c100052_g1	6055.m.42111
c100052_g2	6055.m.42115
c100052_g3	6055.m.42116
c100053_g1	6055.m.42118
c100053_g2	6055.m.42121
c100054_g1	6055.m.42126
c100054_g2	6055.m.42138
c100054_g4	6055.m.42133
c100055_g2	6055.m.42143
c100056_g1	6055.m.42157
c100056_g2	6055.m.42161
c100057_g1	6055.m.42162
c100058_g1	6055.m.42163
c100059_g1	6055.m.42165
c100060_g1	6055.m.42167
c100060_g2	6055.m.42173
c100061_g1	6055.m.42175
c100061_g2	6055.m.42180
c100062_g1	6055.m.42183
c100063_g1	6055.m.42186
c100064_g1	6055.m.42189
c100065_g1	6055.m.42196
c100066_g1	6055.m.42198
c100066_g4	6055.m.42203
c100067_g1	6055.m.42207
c100067_g2	6055.m.42208
c100068_g1	6055.m.42209
c100068_g4	6055.m.42211
c100068_g5	6055.m.42212
c100068_g6	6055.m.42213
c100069_g1	6055.m.42215
c100070_g1	6055.m.42216
c100071_g1	6055.m.42220
c100072_g1	6055.m.42225
c100072_g2	6055.m.42227
c100074_g1	6055.m.42239
c100075_g1	6055.m.42245
c100075_g2	6055.m.42248
c100076_g1	6055.m.42250
c100076_g2	6055.m.42252
c100077_g1	6055.m.42259
c100077_g2	6055.m.42260
c100077_g3	6055.m.42262
c100078_g2	6055.m.42263
c100078_g3	6055.m.42269
c100078_g4	6055.m.42268
c100079_g1	6055.m.42270
c100080_g1	6055.m.42274
c100080_g2	6055.m.42281
c100081_g1	6055.m.42285
c100082_g1	6055.m.42290
c100083_g1	6055.m.42291
c100083_g2	6055.m.42295
c100084_g1	6055.m.42300
c100085_g1	6055.m.42303
c100086_g1	6055.m.42307
c100087_g1	6055.m.42309
c100088_g1	6055.m.42311
c100089_g1	6055.m.42313
c100090_g1	6055.m.42316
c100091_g1	6055.m.42319
c100092_g2	6055.m.42329
c100093_g1	6055.m.42335
c100094_g1	6055.m.42340
c100095_g1	6055.m.42343
c100096_g1	6055.m.42348
c100097_g1	6055.m.42350
c100098_g1	6055.m.42352
c100098_g2	6055.m.42357
c100099_g1	6055.m.42363
c100099_g2	6055.m.42365
c100100_g1	6055.m.42366
c100100_g2	6055.m.42370
c100100_g3	6055.m.42373
c100101_g1	6055.m.42374
c100102_g1	6055.m.42376
c100102_g2	6055.m.42377
c100103_g1	6055.m.42379
c100103_g2	6055.m.42380
c100103_g3	6055.m.42382
c100104_g1	6055.m.42387
c100105_g1	6055.m.42391
c100105_g2	6055.m.42394
c100106_g1	6055.m.42396
c100107_g1	6055.m.42404
c100108_g1	6055.m.42408
c100109_g1	6055.m.42412
c100109_g2	6055.m.42414
c100109_g3	6055.m.42415
c100109_g4	6055.m.42418
c100110_g1	6055.m.42421
c100110_g2	6055.m.42425
c100111_g1	6055.m.42432
c100112_g1	6055.m.42434
c100113_g1	6055.m.42435
c100114_g1	6055.m.42437
c100115_g1	6055.m.42443
c100116_g1	6055.m.42446
c100116_g2	6055.m.42447
c100116_g3	6055.m.42448
c100116_g4	6055.m.42450
c100117_g1	6055.m.42452
c100117_g2	6055.m.42454
c100117_g3	6055.m.42460
c100118_g1	6055.m.42462
c100119_g1	6055.m.42464
c100121_g1	6055.m.42472
c100121_g2	6055.m.42471
c100122_g1	6055.m.42475
c100123_g1	6055.m.42480
c100124_g1	6055.m.42488
c100124_g2	6055.m.42489
c100124_g3	6055.m.42491
c100124_g4	6055.m.42492
c100126_g1	6055.m.42494
c100127_g1	6055.m.42496
c100128_g1	6055.m.42498
c100129_g1	6055.m.42505
c100129_g2	6055.m.42513
c100130_g1	6055.m.42517
c100131_g1	6055.m.42520
c100132_g1	6055.m.42521
c100132_g2	6055.m.42524
c100134_g1	6055.m.42526
c100135_g1	6055.m.42529
c100135_g2	6055.m.42531
c100136_g1	6055.m.42541
c100137_g1	6055.m.42549
c100139_g1	6055.m.42556
c100139_g2	6055.m.42557
c100140_g1	6055.m.42561
c100140_g2	6055.m.42563
c100141_g1	6055.m.42565
c100142_g1	6055.m.42569
c100143_g1	6055.m.42571
c100144_g1	6055.m.42572
c100144_g2	6055.m.42573
c100145_g1	6055.m.42581
c100145_g2	6055.m.42595
c100145_g3	6055.m.42597
c100145_g4	6055.m.42599
c100145_g5	6055.m.42602
c100146_g1	6055.m.42603
c100147_g1	6055.m.42605
c100148_g1	6055.m.42611
c100150_g1	6055.m.42616
c100151_g1	6055.m.42617
c100152_g1	6055.m.42619
c100153_g1	6055.m.42625
c100154_g1	6055.m.42630
c100155_g1	6055.m.42635
c100156_g1	6055.m.42641
c100156_g2	6055.m.42643
c100157_g1	6055.m.42645
c100158_g1	6055.m.42646
c100159_g1	6055.m.42649
c100160_g1	6055.m.42651
c100161_g1	6055.m.42654
c100161_g2	6055.m.42655
c100162_g1	6055.m.42661
c100163_g2	6055.m.42668
c100164_g1	6055.m.42669
c100164_g2	6055.m.42670
c100164_g3	6055.m.42675
c100165_g1	6055.m.42683
c100166_g1	6055.m.42688
c100166_g2	6055.m.42692
c100167_g1	6055.m.42695
c100168_g1	6055.m.42696
c100169_g1	6055.m.42700
c100170_g1	6055.m.42701
c100170_g2	6055.m.42703
c100171_g1	6055.m.42706
c100172_g1	6055.m.42717
c100173_g1	6055.m.42726
c100174_g1	6055.m.42728
c100175_g1	6055.m.42731
c100177_g1	6055.m.42734
c100178_g1	6055.m.42743
c100179_g1	6055.m.42750
c100179_g2	6055.m.42753
c100180_g1	6055.m.42754
c100180_g2	6055.m.42756
c100181_g1	6055.m.42757
c100181_g2	6055.m.42759
c100181_g3	6055.m.42762
c100181_g4	6055.m.42776
c100182_g2	6055.m.42782
c100183_g1	6055.m.42783
c100184_g1	6055.m.42786
c100185_g1	6055.m.42792
c100187_g1	6055.m.42807
c100188_g1	6055.m.42812
c100188_g2	6055.m.42818
c100189_g1	6055.m.42819
c10019_g1	6055.m.1054
c100190_g1	6055.m.42825
c100191_g1	6055.m.42827
c100192_g1	6055.m.42828
c100193_g1	6055.m.42832
c100193_g2	6055.m.42836
c100194_g1	6055.m.42840
c100195_g1	6055.m.42843
c100195_g2	6055.m.42848
c100196_g1	6055.m.42850
c100197_g1	6055.m.42853
c100198_g1	6055.m.42856
c100199_g1	6055.m.42864
c100200_g1	6055.m.42867
c100201_g1	6055.m.42869
c100202_g1	6055.m.42874
c100203_g1	6055.m.42875
c100204_g1	6055.m.42882
c100205_g1	6055.m.42883
c100205_g2	6055.m.42887
c100205_g3	6055.m.42889
c100206_g2	6055.m.42897
c100207_g1	6055.m.42903
c100208_g1	6055.m.42904
c100209_g1	6055.m.42910
c100210_g2	6055.m.42912
c100211_g1	6055.m.42920
c100211_g2	6055.m.42924
c100212_g1	6055.m.42929
c100212_g2	6055.m.42930
c100214_g1	6055.m.42941
c100215_g1	6055.m.42945
c100215_g2	6055.m.42946
c100215_g3	6055.m.42953
c100215_g4	6055.m.42952
c100215_g6	6055.m.42956
c100216_g1	6055.m.42958
c100217_g1	6055.m.42959
c100217_g2	6055.m.42962
c100218_g1	6055.m.42963
c100219_g1	6055.m.42966
c100219_g2	6055.m.42972
c100220_g1	6055.m.42976
c100220_g2	6055.m.42978
c100221_g1	6055.m.42981
c100222_g1	6055.m.42983
c100222_g2	6055.m.42985
c100223_g1	6055.m.42986
c100224_g2	6055.m.43002
c100225_g1	6055.m.43005
c100226_g1	6055.m.43009
c100227_g1	6055.m.43012
c100227_g2	6055.m.43013
c100228_g1	6055.m.43014
c100230_g1	6055.m.43022
c100231_g1	6055.m.43023
c100232_g1	6055.m.43027
c100232_g2	6055.m.43033
c100232_g3	6055.m.43029
c100232_g4	6055.m.43030
